LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,CPI,TOT,AGRWTH,A,2005,3.545073,
GRC,CPI,TOT,AGRWTH,A,2006,3.195946,
GRC,CPI,TOT,AGRWTH,A,2007,2.895001,
GRC,CPI,TOT,AGRWTH,A,2008,4.152796,
GRC,CPI,TOT,AGRWTH,A,2009,1.210074,
GRC,CPI,TOT,AGRWTH,A,2010,4.712982,
GRC,CPI,TOT,AGRWTH,A,2011,3.32987,
GRC,CPI,TOT,AGRWTH,A,2012,1.50152,
GRC,CPI,TOT,AGRWTH,A,2013,-0.922165,
GRC,CPI,TOT,AGRWTH,A,2014,-1.311209,
GRC,CPI,TOT,AGRWTH,A,2015,-1.736046,
GRC,CPI,TOT,AGRWTH,A,2016,-0.8256576,
GRC,CPI,TOT,AGRWTH,A,2017,1.121259,
GRC,CPI,TOT,AGRWTH,A,2018,0.6256205,
ITA,CPI,TOT,AGRWTH,A,2005,1.985294,
ITA,CPI,TOT,AGRWTH,A,2006,2.090843,
ITA,CPI,TOT,AGRWTH,A,2007,1.829738,
ITA,CPI,TOT,AGRWTH,A,2008,3.347834,
ITA,CPI,TOT,AGRWTH,A,2009,0.7747682,
ITA,CPI,TOT,AGRWTH,A,2010,1.525516,
ITA,CPI,TOT,AGRWTH,A,2011,2.780633,
ITA,CPI,TOT,AGRWTH,A,2012,3.041363,
ITA,CPI,TOT,AGRWTH,A,2013,1.219992,
ITA,CPI,TOT,AGRWTH,A,2014,0.2410575,
ITA,CPI,TOT,AGRWTH,A,2015,0.03878675,
ITA,CPI,TOT,AGRWTH,A,2016,-0.0940214,
ITA,CPI,TOT,AGRWTH,A,2017,1.226533,
ITA,CPI,TOT,AGRWTH,A,2018,1.137488,
PRT,CPI,TOT,AGRWTH,A,2005,2.277164,
PRT,CPI,TOT,AGRWTH,A,2006,3.107666,
PRT,CPI,TOT,AGRWTH,A,2007,2.453965,
PRT,CPI,TOT,AGRWTH,A,2008,2.588506,
PRT,CPI,TOT,AGRWTH,A,2009,-0.83553,
PRT,CPI,TOT,AGRWTH,A,2010,1.402573,
PRT,CPI,TOT,AGRWTH,A,2011,3.653011,
PRT,CPI,TOT,AGRWTH,A,2012,2.773339,
PRT,CPI,TOT,AGRWTH,A,2013,0.2744167,
PRT,CPI,TOT,AGRWTH,A,2014,-0.2781534,
PRT,CPI,TOT,AGRWTH,A,2015,0.4879386,
PRT,CPI,TOT,AGRWTH,A,2016,0.6073971,
PRT,CPI,TOT,AGRWTH,A,2017,1.368614,
PRT,CPI,TOT,AGRWTH,A,2018,0.9937157,
ESP,CPI,TOT,AGRWTH,A,2005,3.368454,
ESP,CPI,TOT,AGRWTH,A,2006,3.515375,
ESP,CPI,TOT,AGRWTH,A,2007,2.78703,
ESP,CPI,TOT,AGRWTH,A,2008,4.075661,
ESP,CPI,TOT,AGRWTH,A,2009,-0.2879968,
ESP,CPI,TOT,AGRWTH,A,2010,1.799881,
ESP,CPI,TOT,AGRWTH,A,2011,3.196146,
ESP,CPI,TOT,AGRWTH,A,2012,2.446,
ESP,CPI,TOT,AGRWTH,A,2013,1.408546,
ESP,CPI,TOT,AGRWTH,A,2014,-0.1508703,
ESP,CPI,TOT,AGRWTH,A,2015,-0.5004613,
ESP,CPI,TOT,AGRWTH,A,2016,-0.2026717,
ESP,CPI,TOT,AGRWTH,A,2017,1.956083,
ESP,CPI,TOT,AGRWTH,A,2018,1.675068,
SVN,CPI,TOT,AGRWTH,A,2005,2.451501,
SVN,CPI,TOT,AGRWTH,A,2006,2.457924,
SVN,CPI,TOT,AGRWTH,A,2007,3.657496,
SVN,CPI,TOT,AGRWTH,A,2008,5.647424,
SVN,CPI,TOT,AGRWTH,A,2009,0.8392622,
SVN,CPI,TOT,AGRWTH,A,2010,1.80117,
SVN,CPI,TOT,AGRWTH,A,2011,1.802852,
SVN,CPI,TOT,AGRWTH,A,2012,2.597414,
SVN,CPI,TOT,AGRWTH,A,2013,1.769201,
SVN,CPI,TOT,AGRWTH,A,2014,0.1993438,
SVN,CPI,TOT,AGRWTH,A,2015,-0.5255523,
SVN,CPI,TOT,AGRWTH,A,2016,-0.05499954,
SVN,CPI,TOT,AGRWTH,A,2017,1.429107,
SVN,CPI,TOT,AGRWTH,A,2018,1.738609,
