"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","EMP","TOT","PC_WKGPOP","A","2005",59.625,
"GRC","EMP","TOT","PC_WKGPOP","A","2006",60.55,
"GRC","EMP","TOT","PC_WKGPOP","A","2007",60.875,
"GRC","EMP","TOT","PC_WKGPOP","A","2008",61.425,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2009",60.85,
"GRC","EMP","TOT","PC_WKGPOP","A","2010",59.1,
"GRC","EMP","TOT","PC_WKGPOP","A","2011",55.1,
"GRC","EMP","TOT","PC_WKGPOP","A","2012",50.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2013",48.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2014",49.425,
"GRC","EMP","TOT","PC_WKGPOP","A","2015",50.8,
"GRC","EMP","TOT","PC_WKGPOP","A","2016",52.025,
"GRC","EMP","TOT","PC_WKGPOP","A","2017",53.5,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.9,
"ITA","EMP","TOT","PC_WKGPOP","A","2005",57.575,
"ITA","EMP","TOT","PC_WKGPOP","A","2006",58.325,
"ITA","EMP","TOT","PC_WKGPOP","A","2007",58.575,
"ITA","EMP","TOT","PC_WKGPOP","A","2008",58.65,
"ITA","EMP","TOT","PC_WKGPOP","A","2009",57.35,
"ITA","EMP","TOT","PC_WKGPOP","A","2010",56.75,
"ITA","EMP","TOT","PC_WKGPOP","A","2011",56.8,
"ITA","EMP","TOT","PC_WKGPOP","A","2012",56.625,
"ITA","EMP","TOT","PC_WKGPOP","A","2013",55.525,
"ITA","EMP","TOT","PC_WKGPOP","A","2014",55.7,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.275,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2017",57.975,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.525,
"PRT","EMP","TOT","PC_WKGPOP","A","2005",67.3,
"PRT","EMP","TOT","PC_WKGPOP","A","2006",67.625,
"PRT","EMP","TOT","PC_WKGPOP","A","2007",67.6,
"PRT","EMP","TOT","PC_WKGPOP","A","2008",68.025,
"PRT","EMP","TOT","PC_WKGPOP","A","2009",66.075,
"PRT","EMP","TOT","PC_WKGPOP","A","2010",65.275,"B"
"PRT","EMP","TOT","PC_WKGPOP","A","2011",63.825,
"PRT","EMP","TOT","PC_WKGPOP","A","2012",61.425,
"PRT","EMP","TOT","PC_WKGPOP","A","2013",60.625,
"PRT","EMP","TOT","PC_WKGPOP","A","2014",62.625,
"PRT","EMP","TOT","PC_WKGPOP","A","2015",63.925,
"PRT","EMP","TOT","PC_WKGPOP","A","2016",65.25,
"PRT","EMP","TOT","PC_WKGPOP","A","2017",67.825,
"PRT","EMP","TOT","PC_WKGPOP","A","2018",69.7,
"ESP","EMP","TOT","PC_WKGPOP","A","2005",63.55,
"ESP","EMP","TOT","PC_WKGPOP","A","2006",65.025,
"ESP","EMP","TOT","PC_WKGPOP","A","2007",65.8,
"ESP","EMP","TOT","PC_WKGPOP","A","2008",64.475,
"ESP","EMP","TOT","PC_WKGPOP","A","2009",59.95,
"ESP","EMP","TOT","PC_WKGPOP","A","2010",58.85,
"ESP","EMP","TOT","PC_WKGPOP","A","2011",58.025,
"ESP","EMP","TOT","PC_WKGPOP","A","2012",55.75,
"ESP","EMP","TOT","PC_WKGPOP","A","2013",54.825,
"ESP","EMP","TOT","PC_WKGPOP","A","2014",56,
"ESP","EMP","TOT","PC_WKGPOP","A","2015",57.8,
"ESP","EMP","TOT","PC_WKGPOP","A","2016",59.55,
"ESP","EMP","TOT","PC_WKGPOP","A","2017",61.1,
"ESP","EMP","TOT","PC_WKGPOP","A","2018",62.4,
"SVN","EMP","TOT","PC_WKGPOP","A","2005",65.95,
"SVN","EMP","TOT","PC_WKGPOP","A","2006",66.55,
"SVN","EMP","TOT","PC_WKGPOP","A","2007",67.75,
"SVN","EMP","TOT","PC_WKGPOP","A","2008",68.575,
"SVN","EMP","TOT","PC_WKGPOP","A","2009",67.525,
"SVN","EMP","TOT","PC_WKGPOP","A","2010",66.2,
"SVN","EMP","TOT","PC_WKGPOP","A","2011",64.4,
"SVN","EMP","TOT","PC_WKGPOP","A","2012",64.075,
"SVN","EMP","TOT","PC_WKGPOP","A","2013",63.275,
"SVN","EMP","TOT","PC_WKGPOP","A","2014",63.9,
"SVN","EMP","TOT","PC_WKGPOP","A","2015",65.225,
"SVN","EMP","TOT","PC_WKGPOP","A","2016",65.85,
"SVN","EMP","TOT","PC_WKGPOP","A","2017",69.275,
"SVN","EMP","TOT","PC_WKGPOP","A","2018",71.125,
