"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HOUSECOST","REAL","IDX2015","A","2005",156.203315654485,
"GRC","HOUSECOST","REAL","IDX2015","A","2006",170.969526850522,
"GRC","HOUSECOST","REAL","IDX2015","A","2007",175.149875363002,
"GRC","HOUSECOST","REAL","IDX2015","A","2008",170.377670832859,
"GRC","HOUSECOST","REAL","IDX2015","A","2009",161.493011135271,
"GRC","HOUSECOST","REAL","IDX2015","A","2010",149.031732378941,
"GRC","HOUSECOST","REAL","IDX2015","A","2011",137.654471960903,
"GRC","HOUSECOST","REAL","IDX2015","A","2012",120.921610445101,
"GRC","HOUSECOST","REAL","IDX2015","A","2013",109.667887603123,
"GRC","HOUSECOST","REAL","IDX2015","A","2014",103.651960300379,
"GRC","HOUSECOST","REAL","IDX2015","A","2015",100,
"GRC","HOUSECOST","REAL","IDX2015","A","2016",98.3049038960781,
"GRC","HOUSECOST","REAL","IDX2015","A","2017",96.7407501930425,
"GRC","HOUSECOST","REAL","IDX2015","A","2018",98.0883569907736,
"ITA","HOUSECOST","REAL","IDX2015","A","2005",126.998416513939,
"ITA","HOUSECOST","REAL","IDX2015","A","2006",131.633704164751,
"ITA","HOUSECOST","REAL","IDX2015","A","2007",135.388631457962,
"ITA","HOUSECOST","REAL","IDX2015","A","2008",133.40972301916,
"ITA","HOUSECOST","REAL","IDX2015","A","2009",129.239239209425,
"ITA","HOUSECOST","REAL","IDX2015","A","2010",126.632323059145,
"ITA","HOUSECOST","REAL","IDX2015","A","2011",124.705987224675,
"ITA","HOUSECOST","REAL","IDX2015","A","2012",118.426218721777,
"ITA","HOUSECOST","REAL","IDX2015","A","2013",109.53661671194,
"ITA","HOUSECOST","REAL","IDX2015","A","2014",104.109581670932,
"ITA","HOUSECOST","REAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","REAL","IDX2015","A","2016",100.142902616474,
"ITA","HOUSECOST","REAL","IDX2015","A","2017",97.8933838212479,
"ITA","HOUSECOST","REAL","IDX2015","A","2018",96.4464438029602,
"PRT","HOUSECOST","REAL","IDX2015","A","2005",128.253988254943,
"PRT","HOUSECOST","REAL","IDX2015","A","2006",126.491860481822,
"PRT","HOUSECOST","REAL","IDX2015","A","2007",122.927044963411,
"PRT","HOUSECOST","REAL","IDX2015","A","2008",112.032460727847,
"PRT","HOUSECOST","REAL","IDX2015","A","2009",114.481465788645,
"PRT","HOUSECOST","REAL","IDX2015","A","2010",113.282809353671,
"PRT","HOUSECOST","REAL","IDX2015","A","2011",105.915467153582,
"PRT","HOUSECOST","REAL","IDX2015","A","2012",96.6690693462779,
"PRT","HOUSECOST","REAL","IDX2015","A","2013",94.1181256670089,
"PRT","HOUSECOST","REAL","IDX2015","A","2014",97.8952439970632,
"PRT","HOUSECOST","REAL","IDX2015","A","2015",100,
"PRT","HOUSECOST","REAL","IDX2015","A","2016",106.061472352451,
"PRT","HOUSECOST","REAL","IDX2015","A","2017",114.073069684542,
"PRT","HOUSECOST","REAL","IDX2015","A","2018",124.164071127342,
"ESP","HOUSECOST","REAL","IDX2015","A","2005",140.884450827219,
"ESP","HOUSECOST","REAL","IDX2015","A","2006",154.591978609807,
"ESP","HOUSECOST","REAL","IDX2015","A","2007",164.245986969212,
"ESP","HOUSECOST","REAL","IDX2015","A","2008",156.297583849589,
"ESP","HOUSECOST","REAL","IDX2015","A","2009",147.371109750631,
"ESP","HOUSECOST","REAL","IDX2015","A","2010",141.964685876642,
"ESP","HOUSECOST","REAL","IDX2015","A","2011",128.101939653491,
"ESP","HOUSECOST","REAL","IDX2015","A","2012",106.994272093303,
"ESP","HOUSECOST","REAL","IDX2015","A","2013",96.2798171129011,
"ESP","HOUSECOST","REAL","IDX2015","A","2014",96.4554183051097,
"ESP","HOUSECOST","REAL","IDX2015","A","2015",100,
"ESP","HOUSECOST","REAL","IDX2015","A","2016",104.449921555248,
"ESP","HOUSECOST","REAL","IDX2015","A","2017",109.180430037919,
"ESP","HOUSECOST","REAL","IDX2015","A","2018",114.849984775983,
"SVN","HOUSECOST","REAL","IDX2015","A","2007",136.62870685417,
"SVN","HOUSECOST","REAL","IDX2015","A","2008",138.461629130804,
"SVN","HOUSECOST","REAL","IDX2015","A","2009",124.293487765225,
"SVN","HOUSECOST","REAL","IDX2015","A","2010",122.663659330263,
"SVN","HOUSECOST","REAL","IDX2015","A","2011",123.794086946745,
"SVN","HOUSECOST","REAL","IDX2015","A","2012",113.323323580683,
"SVN","HOUSECOST","REAL","IDX2015","A","2013",105.137435490573,
"SVN","HOUSECOST","REAL","IDX2015","A","2014",98.6078412713231,
"SVN","HOUSECOST","REAL","IDX2015","A","2015",100,
"SVN","HOUSECOST","REAL","IDX2015","A","2016",103.917753217656,
"SVN","HOUSECOST","REAL","IDX2015","A","2017",110.370495445657,
"SVN","HOUSECOST","REAL","IDX2015","A","2018",118.55874775973,
