LOCATION,Country,TIME,Value
ITA,Italy,2005,108.2257835
,,,
,,,
,,,
,,,
ITA,Italy,2006,115.1911971
,,,
,,,
,,,
,,,
ITA,Italy,2007,121.1302523
,,,
,,,
,,,
,,,
ITA,Italy,2008,123.1770992
,,,
,,,
,,,
,,,
ITA,Italy,2009,118.6465353
,,,
,,,
,,,
,,,
ITA,Italy,2010,118.1
,,,
,,,
,,,
,,,
ITA,Italy,2011,119.7
,,,
,,,
,,,
,,,
ITA,Italy,2012,116.65
,,,
,,,
,,,
,,,
ITA,Italy,2013,109.1
,,,
,,,
,,,
,,,
ITA,Italy,2014,103.95
,,,
,,,
,,,
,,,
ITA,Italy,2015,100
,,,
,,,
,,,
,,,
ITA,Italy,2016,100.25
,,,
,,,
,,,
,,,
ITA,Italy,2017,99.175
,,,
,,,
,,,
,,,
ITA,Italy,2018,98.625
,,,
,,,
,,,
,,,
,,,
,,,
GRC,Greece,2005,102.3319673
,,,
,,,
,,,
,,,
GRC,Greece,2006,106.798942
,,,
,,,
,,,
,,,
GRC,Greece,2007,111.6576666
,,,
,,,
,,,
,,,
GRC,Greece,2008,115.9977663
,,,
,,,
,,,
,,,
GRC,Greece,2009,120.196566
,,,
,,,
,,,
,,,
GRC,Greece,2010,123.1350908
,,,
,,,
,,,
,,,
GRC,Greece,2011,124.1634157
,,,
,,,
,,,
,,,
GRC,Greece,2012,121.5808409
,,,
,,,
,,,
,,,
GRC,Greece,2013,113.3293415
,,,
,,,
,,,
,,,
GRC,Greece,2014,104.6372672
,,,
,,,
,,,
,,,
GRC,Greece,2015,100
,,,
,,,
,,,
,,,
GRC,Greece,2016,97.3881427
,,,
,,,
,,,
,,,
GRC,Greece,2017,95.22417536
,,,
,,,
,,,
,,,
GRC,Greece,2018,92.16403309
,,,
,,,
,,,
,,,
GRC,Greece,2019,92.16403309
,,,
,,,
,,,
,,,
SVN,Slovenia,2007,120.845
,,,
,,,
,,,
,,,
SVN,Slovenia,2008,129.3075
,,,
,,,
,,,
,,,
SVN,Slovenia,2009,117.055
,,,
,,,
,,,
,,,
SVN,Slovenia,2010,117.205
,,,
,,,
,,,
,,,
SVN,Slovenia,2011,120.385
,,,
,,,
,,,
,,,
SVN,Slovenia,2012,112.09
,,,
,,,
,,,
,,,
SVN,Slovenia,2013,106.21
,,,
,,,
,,,
,,,
SVN,Slovenia,2014,99.2025
,,,
,,,
,,,
,,,
SVN,Slovenia,2015,100
,,,
,,,
,,,
,,,
SVN,Slovenia,2016,103.2525
,,,
,,,
,,,
,,,
SVN,Slovenia,2017,111.5625
,,,
,,,
,,,
,,,
SVN,Slovenia,2018,122.4625
,,,
,,,
,,,
,,,
,,,
,,,
PRT,Portugal,2005,138.4668996
,,,
,,,
,,,
,,,
PRT,Portugal,2006,137.8941458
,,,
,,,
,,,
,,,
PRT,Portugal,2007,134.9104066
,,,
,,,
,,,
,,,
PRT,Portugal,2008,122.6942945
,,,
,,,
,,,
,,,
PRT,Portugal,2009,119.7101651
,,,
,,,
,,,
,,,
PRT,Portugal,2010,118.1636914
,,,
,,,
,,,
,,,
PRT,Portugal,2011,111.3340657
,,,
,,,
,,,
,,,
PRT,Portugal,2012,101.4285047
,,,
,,,
,,,
,,,
PRT,Portugal,2013,98.27926825
,,,
,,,
,,,
,,,
PRT,Portugal,2014,98.11098388
,,,
,,,
,,,
,,,
PRT,Portugal,2015,100
,,,
,,,
,,,
,,,
PRT,Portugal,2016,105.3146096
,,,
,,,
,,,
,,,
